[main] Total elements: 268435456, bytes per buffer: 1073741824, total required: 0 MB
==93012== NVPROF is profiling process 93012, command: ./bin/profile_harness --num_batches=256 --vocab_size=1048576 --kernel=radix_v1 --warmup_runs=0 --runs=1
[run] Launching kernel 'radix_v1' (run 0)
==93012== Profiling application: ./bin/profile_harness --num_batches=256 --vocab_size=1048576 --kernel=radix_v1 --warmup_runs=0 --runs=1
==93012== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
237.28ms  227.78ms                    -               -         -         -         -  1.0000GB  4.3901GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
465.29ms  227.20ms                    -               -         -         -         -  1.0000GB  4.4014GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
693.25ms  9.0145ms                    -               -         -         -         -  1.0000GB  110.93GB/s      Device      Device     Tesla T4 (0)         1         7  [CUDA memcpy DtoD]
702.31ms  4.5869ms         (1024 1 256)      (1024 1 1)        16        0B        0B         -           -           -           -     Tesla T4 (0)         1         7  void init_indices<int=1024>(unsigned int*, int) [147]
706.89ms  4.5880ms         (1024 1 256)      (1024 1 1)        16        0B        0B         -           -           -           -     Tesla T4 (0)         1         7  void init_indices<int=1024>(unsigned int*, int) [149]
711.48ms  7.9923ms         (1024 1 256)      (1024 1 1)        16      128B        0B         -           -           -           -     Tesla T4 (0)         1         7  void prefix_per_block_desc<int=1024>(unsigned int*, unsigned int*, int, int) [155]
719.48ms  1.7920us                    -               -         -         -         -  4.0000KB  2.1287GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.50ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.50ms  1.5680us                    -               -         -         -         -  4.0000KB  2.4328GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.52ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.52ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.53ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.54ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.56ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.56ms  1.1520us                    -               -         -         -         -  4.0000KB  3.3114GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.57ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.58ms  1.2160us                    -               -         -         -         -  4.0000KB  3.1371GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.59ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.59ms  1.5360us                    -               -         -         -         -  4.0000KB  2.4835GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.60ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.61ms  1.5040us                    -               -         -         -         -  4.0000KB  2.5364GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.62ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.62ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
719.63ms     544ns                    -               -         -         -         -  4.0000KB  7.0123GB/s    Pageable      Device     Tesla T4 (0)         1         7  [CUDA memcpy HtoD]
719.64ms  1.1840us                    -               -         -         -         -  4.0000KB  3.2219GB/s      Device    Pageable     Tesla T4 (0)         1         7  [CUDA memcpy DtoH]
